id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
16267842,Venice San Marco Square with terrace and Balcony,104994977,Chicca,Isole,San Marco,45.437476584510435,12.33752902886067,Entire home/apt,236,2,4,2017-03-28,1.28,16,220
962131,Charming apartment in San Marco,5240699,Serena,Isole,San Marco,45.434891076236376,12.337813081770742,Entire home/apt,170,3,0,,,3,315
18592543,SAN MARCO MOONLIGHT ATTIC,129104179,Massimo,Isole,San Marco,45.433167745951636,12.330361610596764,Entire home/apt,130,4,0,,,1,339
4577536,Assassini,3972291,Caroline E Marco,Isole,San Marco,45.43548692730615,12.33296520455381,Entire home/apt,170,4,16,2017-02-04,0.71,49,272
5835421,Central flat in a typical Venice,5128717,Alvise,Isole,San Marco,45.436868864686346,12.33627070949291,Entire home/apt,49,2,157,2017-05-09,6.15,3,291
1502171,Angel's view house in San Marco,5514357,Alvise,Isole,San Marco,45.4325078670994,12.336825134788294,Entire home/apt,250,3,37,2017-04-22,0.83,3,229
12817088,cozy studio very central with wifi,69913260,Adriana,Isole,San Marco,45.4336322219506,12.328817709946456,Entire home/apt,100,3,0,,,1,128
17085742,Appartamento La Fenice,24061697,Nadia,Isole,San Marco,45.43560585780992,12.331369160691903,Entire home/apt,120,2,0,,,1,360
268865,AltanaAlbaChiara BestViewOfVenice,1408761,Chiara,Isole,San Marco,45.43738713392785,12.336095947294313,Entire home/apt,150,3,82,2017-04-21,1.40,2,217
14332332,"Stylish and 100 meter from San Marco square, sleeps 7",12113015,Mario,Isole,San Marco,45.435488374723384,12.336649552171744,Entire home/apt,230,3,33,2017-04-30,4.23,29,265
6420800,Luxury apartment in PiazzaSan Marco,10909648,Alessandra,Isole,San Marco,45.4341175916904,12.335869499535091,Entire home/apt,200,1,28,2017-03-12,1.22,3,318
9858304,Theater Apartament,29271096,Ari,Isole,San Marco,45.43637018723044,12.337498902386093,Entire home/apt,90,3,1,2016-01-05,0.06,9,0
3481039,70STEPS! FROM ST. MARK'S CATHEDRAL,17534457,Abaca,Isole,San Marco,45.43448667636484,12.339860778854467,Entire home/apt,100,3,33,2017-05-08,1.23,42,275
4877650,Centralissimo Ca' Sant' Angelo,16267348,Elisabetta,Isole,San Marco,45.433043168058504,12.333550810460252,Entire home/apt,270,1,114,2017-05-05,3.98,5,306
16961955,The Academy shared room,49180039,Mimi,Isole,San Marco,45.434189251538186,12.328819062040273,Shared room,45,1,15,2017-04-20,5.00,10,330
12058166,Elena's home No1-1,64548275,Elena,Isole,San Marco,45.43238276282474,12.331045971503892,Shared room,85,1,18,2017-04-07,1.42,8,349
16703981,Cute dorm room in the heart of Venice,49180039,Mimi,Isole,San Marco,45.43204179401449,12.332383331510004,Shared room,36,1,1,2017-04-12,1,10,313
13650376,Charming Apart San Marco with canal views AB,35279206,Lmv -,Isole,San Marco,45.434152360601296,12.33567771238379,Entire home/apt,660,3,0,,,6,184
13552264,Apartment Bovolo - Venice 12 People,2634978,Massimo,Isole,San Marco,45.433502661479494,12.335161517341284,Entire home/apt,515,3,3,2017-04-23,0.41,73,243
314094,CA'LOMBARDO SAN MARCO VENICE CENTER,1613872,Amedeo,Isole,San Marco,45.43512102924766,12.337971205596912,Entire home/apt,130,3,43,2017-04-20,0.70,1,221
6736696,Charming San Marco with Canal views,35279206,Lmv -,Isole,San Marco,45.4333129323072,12.333791741133359,Entire home/apt,340,3,0,,,6,185
13339865,Apartment Pisani Venice 4 People,2634978,Massimo,Isole,San Marco,45.43443454447883,12.335414658737285,Entire home/apt,187,3,0,,,73,259
14309119,Apartment Rubino - Venice 4 People,2634978,Massimo,Isole,San Marco,45.43353435551261,12.33698722994973,Entire home/apt,170,3,2,2016-10-25,0.25,73,301
11901900,appartamento casa vacanze Ca'Sole,63486723,Sandra E Marika,Isole,San Marco,45.43258974675882,12.333908791102973,Entire home/apt,300,1,7,2016-10-03,0.61,1,322
5314916,Bilocale vista giardino,15511096,Paolo,Isole,San Marco,45.43479130155216,12.332850632144602,Entire home/apt,225,1,0,,,4,228
8510757,Ca' Rossini 1 Apartment,669047,ViewsOnVenice,Isole,San Marco,45.43572196632961,12.331818858390815,Entire home/apt,275,3,19,2017-04-24,1.33,43,193
14459582,Studio Apartment Al Bovolo,46904188,Mirco Optyflat,Isole,San Marco,45.43634810042779,12.33432963761498,Entire home/apt,95,3,5,2016-10-17,0.59,21,240
11839278,"Suite Palazzo del Giglio, San Marco",5171190,Tommaso,Isole,San Marco,45.4322273948682,12.334006545436976,Entire home/apt,300,2,0,,,1,0
12165432,Ca' Del Teatro,669047,ViewsOnVenice,Isole,San Marco,45.433209414035574,12.330592076194353,Entire home/apt,490,3,5,2017-04-08,0.49,43,167
18145647,Marzarie,124704878,Be In Venice,Isole,San Marco,45.43546599623928,12.338971109651233,Entire home/apt,160,3,0,,,2,81
1548232,6 bed apartment,8248878,Gabriel,Isole,San Marco,45.43242162903461,12.334325981130988,Entire home/apt,280,1,14,2017-04-17,1.23,1,160
15280214,Apartment Concert - Venice 5 People,2634978,Massimo,Isole,San Marco,45.433486399051866,12.337408799740226,Entire home/apt,265,3,0,,,73,349
7498347,Giglio Cu Appartamento,32840410,Francesca,Isole,San Marco,45.431875376955595,12.333190850159355,Entire home/apt,250,2,1,2016-10-23,0.15,9,220
13136470,Sunrise (San Marco),21250164,Olga,Isole,San Marco,45.43292832086546,12.335123588186198,Entire home/apt,220,3,0,,,3,362
3530383,Junior Suite al Palazzo del Giglio,17772956,Lucia,Isole,San Marco,45.43291378915151,12.332544969015599,Entire home/apt,120,2,1,2015-07-29,0.05,1,0
1882105,"CA' MIANI, San Marco, Accademia",9731337,Pascal,Isole,San Marco,45.43341030378333,12.32914658545194,Entire home/apt,120,3,33,2017-04-28,0.89,2,164
1392429,Large apartment&terrace in S.Marco,2227088,Gabriele,Isole,San Marco,45.432328795761144,12.329721957661235,Entire home/apt,295,4,24,2017-04-25,0.53,5,311
9748477,Petit Ca' Garçon,3972291,Caroline E Marco,Isole,San Marco,45.434767743349155,12.328460646668441,Entire home/apt,220,4,3,2016-04-08,0.20,49,306
14942506,The Academy Dorm Rooms,94009346,Boutique Accomodations,Isole,San Marco,45.43430228281727,12.328996695998004,Shared room,39,1,25,2017-04-23,3.29,4,339
3189467,"CA' ZETTA, à San Marco",9731337,Pascal,Isole,San Marco,45.43461549681697,12.330506019341955,Entire home/apt,140,3,100,2017-04-02,2.88,2,235
11960840,Stefano F3,12982157,Locappart,Isole,San Marco,45.43291659247434,12.329386016173707,Entire home/apt,178,3,1,2016-07-10,0.10,22,168
721517,Your Suite behind St. Mark's Square,510349,Roberta,Isole,San Marco,45.433298942989914,12.335333632920173,Entire home/apt,120,2,93,2017-05-01,1.68,2,272
1368196,Central top apartment with view ,1490179,Laura,Isole,San Marco,45.43569240660926,12.33680523282955,Entire home/apt,120,3,39,2017-03-06,0.84,12,288
6026720,VENICE APARTMENT BIENNALE,28095151,Booking Brokers SRLS,Isole,San Marco,45.43372195090176,12.334650126850205,Entire home/apt,140,4,6,2016-05-06,0.25,2,205
10290086,St.Mark's Square apartment,30149755,Rachele,Isole,San Marco,45.436081685417975,12.338806963429846,Entire home/apt,100,2,95,2017-05-08,6.25,2,280
16876493,Ca' Colombina,3972291,Caroline E Marco,Isole,San Marco,45.43502835608282,12.337444085875802,Entire home/apt,280,4,0,,,49,306
17548263,ELEGANT and QUIET in SAN MARCO,119066244,Alessandra,Isole,San Marco,45.43430490576429,12.32893104592725,Entire home/apt,140,2,4,2017-05-02,3.33,1,294
11961376,Stefano F2,12982157,Locappart,Isole,San Marco,45.434694083769855,12.331401414731848,Entire home/apt,157,3,1,2016-11-05,0.16,22,187
13192030,"Panoramic flat with terrace, in heart of San Marco",73840657,Gianluigi,Isole,San Marco,45.43469729418683,12.337133539057666,Entire home/apt,130,2,26,2017-05-02,2.25,4,350
13812868,casa dac,28068235,Dante,Isole,San Marco,45.432164169673676,12.329576992928532,Entire home/apt,150,3,7,2017-05-08,0.95,1,143
15004169,Romantic room,92509248,Clara,Isole,San Marco,45.43320550644518,12.329628195253436,Private room,87,2,2,2017-04-08,0.26,2,180
5489995,Appartamento 201,28440916,Olga,Isole,San Marco,45.43252944830845,12.332920362226199,Entire home/apt,180,1,1,2015-08-26,0.05,1,90
1632,On the roofs of Venice / Top floor,1801,William,Isole,San Marco,45.438395743905204,12.33657119964169,Entire home/apt,136,2,39,2017-05-01,1.26,1,87
3262165,Bright &comfortable in top location,8669903,Caterina,Isole,San Marco,45.43266570782325,12.328672046501834,Entire home/apt,160,3,27,2017-04-22,1.24,6,299
5441394,"FENICE: 2 DOUBLE BEDRMS, 2 BATHRMS",17534457,Abaca,Isole,San Marco,45.43327016272981,12.330605134304616,Entire home/apt,89,3,20,2017-04-10,0.81,42,274
